step,val_success,val_pass@1,val_reward_mean,train_success,train_pass@16,MI_traj,Hcond_traj,MI_firstturn,valid_think_rate,actor_entropy,pg_loss,actor_grad_norm,critic_vf_loss,reward_mean,early_stop_collapse,step_time_s
0,0.1015625,0.1015625,0.4660156151512638,,,,,,,,,,,,,
1,,,,0.125,0.625,0.8778672218322754,0.7295315265655518,0.2749732732772827,0.9917355371900827,0.47736406326293945,-0.1945870283525437,30.915602207183838,2.5031430912204087,1.9609375,,152.77144186384976
2,,,,0.3046875,0.875,,,,,0.48948433995246887,-0.2365837749093771,46.056994120279946,2.8615451638276377,4.636457920074463,,44.504264840856194
3,,,,0.0,0.0,,,,,0.4888744056224823,0.01314740411726234,52.929683685302734,0.3863577034790069,-0.71875,,56.12936000339687
4,,,,0.3515625,0.625,,,,,0.5220238566398621,-0.629053489305079,41.5690803527832,3.0266649225959554,4.889062404632568,,35.68916128948331
5,,,,0.0625,0.25,0.792340874671936,0.7410147190093994,0.3778780698776245,1.0,0.5479013919830322,-0.30958595778793097,28.94099235534668,1.5154969189316034,2.137500047683716,,140.49149698391557
6,,,,0.1640625,0.625,,,,,0.5438423752784729,-0.2899098158814013,22.04670810699463,1.6772627914324403,2.682812452316284,,38.16904007457197
7,,,,0.2890625,0.625,,,,,0.5559868812561035,-0.6341529116034508,22.56488847732544,2.0485392715781927,7.75156307220459,,36.31564858742058
8,,,,0.0546875,0.25,,,,,0.5926411151885986,-0.3912751190364361,41.31016159057617,1.6118361204862595,3.53125,,28.75031657703221
9,,,,0.1328125,0.5,,,,,0.5797774195671082,-0.23038805648684502,26.507966995239258,1.8566323928534985,4.599999904632568,,29.604050144553185
10,0.140625,0.140625,0.8714843685738742,0.1171875,0.25,0.7305722832679749,0.7274290919303894,0.42348259687423706,1.0,0.5591199994087219,-0.4258093349635601,24.057729721069336,1.5305716432631016,4.665625095367432,,179.5646838825196
11,,,,0.046875,0.5,,,,,0.6006059050559998,-0.07690862438175827,39.507253646850586,1.5530362576246262,0.2609373927116394,,37.835954112932086
12,,,,0.3828125,0.875,,,,,0.6133944988250732,-0.2141423306117455,21.883893966674805,2.0731125567108393,5.763542175292969,,49.98840191587806
13,,,,0.0703125,0.375,,,,,0.6625335812568665,-0.12965047964826226,8.202181816101074,1.4542730897665024,2.1187500953674316,,29.70028636790812
14,,,,0.140625,0.375,,,,,0.6174813508987427,-0.34362288285046816,8.940485954284668,1.5948650846257806,3.6875,,41.9312906190753
15,,,,0.09375,0.375,0.679782509803772,0.8205326795578003,0.37388408184051514,1.0,0.6971361041069031,-0.2716297125443816,9.601896286010742,1.3223416097462177,1.8953124284744263,,152.41977934353054
16,,,,0.265625,0.625,,,,,0.6840944290161133,-0.45625451672822237,7.335515260696411,1.3284151880070567,3.2328128814697266,,40.251875227317214
17,,,,0.0234375,0.25,,,,,0.7362614870071411,-0.10866128510679118,4.141389846801758,0.9863291252404451,0.3125,,34.23692026361823
18,,,,0.1953125,0.375,,,,,0.7132071852684021,-0.23250585328787565,5.332493782043457,1.9378594867885113,7.878124237060547,,32.54739758744836
