step,val_success,val_pass@1,val_reward_mean,train_success,train_pass@16,MI_traj,Hcond_traj,MI_firstturn,valid_think_rate,actor_entropy,pg_loss,actor_grad_norm,critic_vf_loss,reward_mean,early_stop_collapse,step_time_s
0,0.08203125,0.08203125,0.16972656454890966,,,,,,,,,,,,,
1,,,,0.046875,0.5,0.778145432472229,1.88292396068573,0.08460915088653564,0.6587301587301587,416.3402099609375,102.72232158016413,7205.578918457031,,-0.07187500596046448,,71.47361689247191
2,,,,0.1171875,0.625,,,,,326.7437744140625,165.36996072530746,7651.84521484375,,0.6812499761581421,,33.37669485248625
3,,,,0.015625,0.25,,,,,418.3045654296875,21.37239541951567,2680.9174194335938,,-0.47578126192092896,,34.351562755182385
4,,,,0.1953125,0.5,,,,,361.8658752441406,291.380715560168,10886.814208984375,,1.6242187023162842,,29.796133127063513
5,,,,0.0390625,0.25,0.9227471351623535,1.7514193058013916,0.06813681125640869,0.7294303797468354,410.8778991699219,31.962700913001626,6767.2540283203125,,-0.21328125894069672,,75.12200546078384
6,,,,0.0859375,0.625,,,,,381.57220458984375,127.10585467562689,10846.246826171875,,0.3226562440395355,,32.11639348976314
7,,,,0.1328125,0.375,,,,,388.3320617675781,219.13288338202983,5057.2415771484375,,0.8921874761581421,,32.95736735872924
8,,,,0.03125,0.25,,,,,300.4732666015625,20.21352642122656,3920.984161376953,,-0.3375000059604645,,32.195713460445404
9,,,,0.046875,0.25,,,,,364.0832824707031,52.79641036804807,2871.748779296875,,-0.13593749701976776,,28.36303306557238
10,0.1171875,0.1171875,0.6347656259313226,0.0625,0.25,0.818261981010437,1.557947039604187,0.05673503875732422,0.863275039745628,385.6553649902344,142.8185255387798,4957.329650878906,,0.010156229138374329,,131.9329097084701
11,,,,0.0234375,0.375,,,,,379.16607666015625,38.92194636166096,2563.505615234375,,-0.3968750238418579,,31.14947753585875
12,,,,0.15625,0.5,,,,,297.4549865722656,152.8451156169176,9939.552978515625,,1.1335937976837158,,25.805651918053627
